RecordingTimestamp	GazePointIndex	GazePointXLeft	GazePointYLeft	CamX(L)	CamY(L)	DistanceLeft	Pupil(L)	Validity(L)	GazePointXRight	GazePointYRight	CamX(R)	CamY(R)	DistanceRight	Pupil(R)	Validity(R)	Fixation	GazePointX	GazePointY	Event	EventKey	Data 1	Data 2	Description
2879	145	-52	1469	0.712	0.254	647.151	4.719	0	-59	1584	0.431	0.243	647.151	4.505	0	11	-47	1531	 	 	 	 	 
2899	146	-45	1461	0.711	0.254	647.151	4.74	0	-37	1592	0.431	0.243	647.151	4.583	0	11	-47	1531	 	 	 	 	 
2919	147	-54	1462	0.711	0.254	646.769	4.762	0	-31	1592	0.431	0.243	646.77	4.589	0	11	-47	1531	 	 	 	 	 
2938	148	-39	1475	0.71	0.253	646.77	4.693	0	-56	1609	0.43	0.243	646.769	4.546	0	11	-47	1531	 	 	 	 	 
2958	149	-47	1448	0.71	0.253	646.77	4.737	0	-37	1612	0.43	0.243	646.77	4.586	0	11	-47	1531	 	 	 	 	 
2978	150	-37	1488	0.709	0.253	646.77	4.675	0	-47	1570	0.429	0.243	646.769	4.507	0	11	-47	1531	 	 	 	 	 
2998	151	-16	1464	0.709	0.252	646.77	4.755	0	1	1577	0.428	0.243	646.77	4.656	0	 	 	 	 	 	 	 	 
3018	152	-26	1464	0.706	0.251	651.957	4.804	0	2	1571	0.426	0.242	651.957	4.702	0	 	 	 	 	 	 	 	 
3038	153	558	1146	0.702	0.247	651.961	5.19	0	441	1114	0.423	0.238	651.961	4.612	0	 	 	 	 	 	 	 	 
3058	154	585	1112	0.699	0.244	651.963	5.075	0	602	876	0.42	0.235	651.963	4.546	0	 	 	 	 	 	 	 	 
3078	155	585	1115	0.698	0.244	651.963	5.011	0	605	870	0.419	0.236	651.963	4.493	0	 	 	 	 	 	 	 	 
3098	156	587	1111	0.698	0.244	651.963	5.077	0	607	871	0.418	0.236	651.963	4.572	0	 	 	 	 	 	 	 	 
3118	157	665	705	0.697	0.244	671.69	5.14	0	697	729	0.417	0.237	657.577	4.56	0	 	 	 	 	 	 	 	 
3138	158	586	1106	0.697	0.244	671.689	5.129	0	612	861	0.417	0.237	657.576	4.581	0	12	599	981	 	 	 	 	 
3158	159	586	1104	0.696	0.245	671.689	5.195	0	599	867	0.416	0.238	657.576	4.606	0	12	599	981	 	 	 	 	 
3178	160	588	1107	0.696	0.245	671.689	5.189	0	621	862	0.416	0.238	657.576	4.561	0	12	599	981	 	 	 	 	 
3198	161	585	1111	0.696	0.245	671.689	5.154	0	610	854	0.415	0.238	657.576	4.586	0	12	599	981	 	 	 	 	 
3218	162	585	1111	0.695	0.245	673.466	5.2	0	608	855	0.415	0.238	658.371	4.593	0	12	599	981	 	 	 	 	 
3238	163	589	1109	0.695	0.245	673.466	5.191	0	610	855	0.415	0.239	658.371	4.639	0	12	599	981	 	 	 	 	 
3257	164	590	1108	0.695	0.245	673.466	5.224	0	612	852	0.415	0.239	658.371	4.603	0	12	599	981	 	 	 	 	 
3277	165	589	1105	0.695	0.245	673.466	5.157	0	613	842	0.414	0.238	658.372	4.577	0	12	599	981	 	 	 	 	 
3297	166	737	562	0.693	0.242	673.468	5.235	0	784	626	0.413	0.236	658.373	4.53	0	 	 	 	 	 	 	 	 
3317	167	749	530	0.692	0.24	675.62	5.255	0	800	600	0.413	0.233	660.469	4.51	0	 	 	 	 	 	 	 	 
3337	168	761	488	0.692	0.24	675.62	5.185	0	815	480	0.413	0.233	660.469	4.589	0	13	779	474	 	 	 	 	 
3357	169	764	462	0.693	0.24	675.62	5.121	0	795	483	0.413	0.233	660.469	4.58	0	13	779	474	 	 	 	 	 
3377	170	762	477	0.693	0.24	675.62	5.085	0	793	467	0.413	0.233	660.469	4.589	0	13	779	474	 	 	 	 	 
3397	171	775	468	0.693	0.24	675.62	5.067	0	796	478	0.413	0.233	660.469	4.494	0	13	779	474	 	 	 	 	 
3417	172	776	461	0.693	0.24	673.428	5	0	785	472	0.413	0.233	661.834	4.493	0	13	779	474	 	 	 	 	 
3437	173	768	462	0.693	0.24	673.428	5.031	0	802	483	0.412	0.233	661.834	4.529	0	13	779	474	 	 	 	 	 
3457	174	753	482	0.693	0.24	673.428	4.985	0	784	485	0.412	0.233	661.834	4.514	0	13	779	474	 	 	 	 	 
3477	175	768	481	0.692	0.24	673.428	5.002	0	803	461	0.412	0.233	661.834	4.538	0	13	779	474	 	 	 	 	 
3497	176	758	470	0.692	0.24	673.428	4.908	0	788	490	0.412	0.233	661.834	4.495	0	13	779	474	 	 	 	 	 
3517	177	754	474	0.692	0.24	677.106	4.905	0	782	491	0.411	0.233	659.583	4.475	0	13	779	474	 	 	 	 	 
3537	178	771	457	0.691	0.24	677.106	4.911	0	786	489	0.411	0.233	659.583	4.447	0	13	779	474	 	 	 	 	 
3556	179	778	494	0.691	0.24	677.106	4.896	0	792	486	0.411	0.233	659.583	4.394	0	13	779	474	 	 	 	 	 
3576	180	774	458	0.691	0.24	677.106	4.937	0	787	470	0.41	0.234	659.583	4.472	0	13	779	474	 	 	 	 	 
3596	181	780	471	0.69	0.24	677.106	4.914	0	791	471	0.409	0.234	659.583	4.472	0	13	779	474	 	 	 	 	 
3616	182	781	489	0.687	0.241	673.223	4.89	0	793	467	0.406	0.235	657.843	4.456	0	13	779	474	 	 	 	 	 
3636	183	1294	492	0.683	0.241	673.229	4.808	0	1368	522	0.402	0.236	657.85	4.352	0	 	 	 	 	 	 	 	 
3656	184	1646	492	0.68	0.242	673.232	4.749	0	1770	475	0.399	0.237	657.854	4.364	0	 	 	 	 	 	 	 	 
3676	185	1902	524	0.678	0.242	673.234	4.643	0	2115	519	0.397	0.238	657.856	4.454	0	 	 	 	 	 	 	 	 
3696	186	1854	494	0.677	0.242	673.234	4.673	0	2116	510	0.396	0.238	657.856	4.339	0	 	 	 	 	 	 	 	 
3716	187	2118	530	0.677	0.243	655.643	4.489	0	2590	471	0.396	0.238	657.454	4.364	0	 	 	 	 	 	 	 	 
3736	188	1816	542	0.677	0.243	655.641	4.625	0	2111	516	0.395	0.238	657.451	4.328	0	14	1970	532	 	 	 	 	 
3756	189	1793	548	0.676	0.243	655.641	4.571	0	2134	535	0.395	0.238	657.451	4.303	0	14	1970	532	 	 	 	 	 
3776	190	1806	537	0.676	0.243	655.641	4.547	0	2131	535	0.395	0.238	657.451	4.417	0	14	1970	532	 	 	 	 	 
3796	191	1810	537	0.676	0.243	655.641	4.66	0	2150	510	0.394	0.238	657.451	4.354	0	14	1970	532	 	 	 	 	 
3816	192	1791	543	0.675	0.243	652.992	4.612	0	2163	520	0.394	0.238	657.012	4.37	0	14	1970	532	 	 	 	 	 
3836	193	1820	536	0.675	0.243	652.993	4.565	0	2133	526	0.394	0.238	657.012	4.397	0	14	1970	532	 	 	 	 	 
3855	194	1821	539	0.675	0.242	652.993	4.476	0	2086	528	0.393	0.238	657.011	4.309	0	14	1970	532	 	 	 	 	 
3875	195	1767	578	0.675	0.242	652.992	4.511	0	2038	523	0.393	0.238	657.011	4.386	0	 	 	 	 	 	 	 	 
3895	196	1350	504	0.679	0.241	652.988	4.716	0	1596	468	0.396	0.237	657.007	4.408	0	 	 	 	 	 	 	 	 
3915	197	1340	475	0.682	0.241	670.43	4.814	0	1528	462	0.401	0.236	656.654	4.382	0	 	 	 	 	 	 	 	 
3935	198	798	513	0.685	0.241	670.424	4.852	0	847	540	0.404	0.235	656.647	4.378	0	15	815	507	 	 	 	 	 
3955	199	795	516	0.686	0.241	670.424	4.783	0	831	536	0.405	0.235	656.647	4.416	0	15	815	507	 	 	 	 	 
3975	200	816	499	0.686	0.241	670.424	4.789	0	819	519	0.404	0.235	656.646	4.426	0	15	815	507	 	 	 	 	 	 	 	 	 	 
