RecordingTimestamp	GazePointIndex	GazePointX	GazePointY	DistanceLeft	DistanceRight	
2985	895	818	184	536.66	536.66	
2988	896	818	187	536.71	536.71	
2992	897	815	182	536.72	536.72	
2995	898	817	185	536.71	536.71	
2998	899	815	184	536.68	536.68	
3002	900	817	187	536.68	536.68	
3005	901	820	185	536.75	536.75	
3008	902	818	183	536.75	536.75	
3012	903	820	183	536.84	536.84	
3015	904	818	182	536.76	536.76	
3018	905	821	185	536.77	536.77	
3022	906	821	183	536.77	536.77	
3025	907	820	183	536.72	536.72	
3028	908	819	183	536.71	536.71	
3032	909	823	183	536.70	536.70	
3035	910	821	183	536.71	536.71	
3038	911	819	180	536.71	536.71	
3042	912	810	184	536.68	536.68	
3045	913	797	187	536.69	536.69	
3048	914	779	195	536.74	536.74	
3052	915	763	203	536.73	536.73	
3055	916	745	211	536.71	536.71	
3058	917	743	214	536.75	536.75	
3062	918	745	214	536.65	536.65	
3065	919	745	218	536.64	536.64	
3068	920	743	220	536.64	536.64	
3072	921	743	219	536.64	536.64	
3075	922	745	218	536.65	536.65	
3078	923	743	214	536.63	536.63	
3082	924	742	217	536.64	536.64	
3085	925	744	216	536.65	536.65	
3088	926	741	217	536.78	536.78	
3092	927	745	220	536.69	536.69	
3095	928	744	218	536.69	536.69	
3098	929	744	222	536.69	536.69	
3102	930	741	216	536.71	536.71	
3105	931	738	215	536.73	536.73	
3108	932	739	215	536.70	536.70	
3112	933	738	214	536.72	536.72	
3115	934	736	215	536.80	536.80	
3118	935	739	215	536.63	536.63	
3122	936	741	215	536.71	536.71	
3125	937	739	216	536.72	536.72	
3128	938	743	215	536.71	536.71	
3132	939	738	213	536.71	536.71	
3135	940	740	213	536.70	536.70	
3138	941	740	212	536.72	536.72	
3142	942	742	214	536.71	536.71	
3145	943	738	210	536.72	536.72	
3148	944	737	210	536.79	536.79	
3152	945	737	213	536.73	536.73	
3155	946	742	214	536.73	536.73	
3158	947	741	214	536.74	536.74	
3162	948	741	214	536.73	536.73	
3165	949	743	215	536.73	536.73	
3168	950	740	214	536.72	536.72	
3172	951	742	214	536.74	536.74	
3175	952	739	214	536.65	536.65	
3178	953	741	215	536.71	536.71	
3182	954	743	212	536.71	536.71	
3185	955	740	211	536.77	536.77	
3188	956	740	213	536.75	536.75	
3192	957	741	213	536.79	536.79	
3195	958	741	214	536.76	536.76	
3198	959	741	214	536.77	536.77	
3202	960	740	213	536.76	536.76	
3205	961	738	213	536.76	536.76	
3208	962	740	211	536.82	536.82	
3212	963	741	211	536.69	536.69	
3215	964	741	212	536.69	536.69	
3218	965	742	216	536.76	536.76	
3222	966	738	217	536.75	536.75	
3225	967	741	215	536.74	536.74	
3228	968	742	216	536.71	536.71	
3232	969	741	218	536.73	536.73	
3235	970	742	214	536.73	536.73	
3238	971	742	214	536.73	536.73	
3242	972	741	212	536.72	536.72	
3245	973	742	213	536.74	536.74	
3248	974	744	219	536.74	536.74	
3252	975	741	213	536.74	536.74	
3255	976	742	214	536.76	536.76	
3258	977	742	216	536.75	536.75	
3262	978	741	215	536.76	536.76	
3265	979	741	214	536.76	536.76	
3268	980	740	217	536.76	536.76	
3272	981	742	218	536.77	536.77	
3275	982	740	218	536.77	536.77	
3278	983	739	218	536.71	536.71	
3282	984	740	213	536.77	536.77	
3285	985	741	217	536.71	536.71	
3288	986	741	215	536.76	536.76	
3292	987	744	217	536.83	536.83	
3295	988	745	219	536.82	536.82	
3298	989	742	219	536.83	536.83	
3302	990	747	219	536.84	536.84	
3305	991	746	216	536.86	536.86	
3308	992	743	216	536.83	536.83	
3312	993	746	216	536.84	536.84	
3315	994	742	215	536.87	536.87	
3318	995	745	217	536.84	536.84	
3322	996	746	216	536.87	536.87	
3325	997	742	217	536.88	536.88	
3328	998	745	217	536.87	536.87	
3332	999	740	219	536.87	536.87	
3335	1000	745	219	536.87	536.87	
3338	1001	741	219	536.88	536.88	
3342	1002	742	218	536.88	536.88	
3345	1003	745	218	536.89	536.89	
3348	1004	750	217	536.77	536.77	
3352	1005	754	217	536.95	536.95	
3355	1006	767	218	536.96	536.96	
3358	1007	772	218	537.01	537.01	
3362	1008	773	217	536.94	536.94	
3365	1009	776	218	536.94	536.94	
3368	1010	776	216	536.95	536.95	
3372	1011	776	213	536.93	536.93	
3375	1012	771	217	536.87	536.87	
3378	1013	773	218	536.91	536.91	
3382	1014	771	220	536.93	536.93	
3385	1015	777	220	536.78	536.78	
